v3, V(vx), V(vy), V(vz)
Step Information: V1=0  (Run: 1/11)
3.700000000000002e+000, 3.700000e+000, 2.500000e+000, 4.465355e+000
3.800000000000002e+000, 3.800000e+000, 2.500000e+000, 4.548558e+000
3.900000000000002e+000, 3.900000e+000, 2.500000e+000, 4.632425e+000
4.000000000000002e+000, 4.000000e+000, 2.500000e+000, 4.716921e+000
4.100000000000001e+000, 4.100000e+000, 2.500000e+000, 4.802012e+000
4.200000000000001e+000, 4.200000e+000, 2.500000e+000, 4.887668e+000
4.300000000000001e+000, 4.300000e+000, 2.500000e+000, 4.973860e+000
4.400000000000000e+000, 4.400000e+000, 2.500000e+000, 5.060559e+000
4.500000000000000e+000, 4.500000e+000, 2.500000e+000, 5.147741e+000
4.600000000000000e+000, 4.600000e+000, 2.500000e+000, 5.235382e+000
4.699999999999999e+000, 4.700000e+000, 2.500000e+000, 5.323457e+000
4.799999999999999e+000, 4.800000e+000, 2.500000e+000, 5.411947e+000
4.899999999999999e+000, 4.900000e+000, 2.500000e+000, 5.500832e+000
5.000000000000000e+000, 5.000000e+000, 2.500000e+000, 5.590092e+000
Step Information: V1=3  (Run: 7/11)
0.000000000000000e+000, 0.000000e+000, 3.000000e+000, 2.999954e+000
1.000000000000000e-001, 1.000000e-001, 3.000000e+000, 3.001619e+000
2.000000000000000e-001, 2.000000e-001, 3.000000e+000, 3.006606e+000
3.000000000000000e-001, 3.000000e-001, 3.000000e+000, 3.014892e+000
4.000000000000000e-001, 4.000000e-001, 3.000000e+000, 3.026500e+000
5.000000000000000e-001, 5.000000e-001, 3.000000e+000, 3.041147e+000
6.000000000000000e-001, 6.000000e-001, 3.000000e+000, 3.059231e+000
7.000000000000000e-001, 7.000000e-001, 3.000000e+000, 3.080463e+000
7.999999999999999e-001, 8.000000e-001, 3.000000e+000, 3.104735e+000
8.999999999999999e-001, 9.000000e-001, 3.000000e+000, 3.132003e+000
9.999999999999999e-001, 1.000000e+000, 3.000000e+000, 3.162196e+000
1.100000000000000e+000, 1.100000e+000, 3.000000e+000, 3.195233e+000
1.200000000000000e+000, 1.200000e+000, 3.000000e+000, 3.231026e+000
1.300000000000000e+000, 1.300000e+000, 3.000000e+000, 3.269487e+000
1.400000000000000e+000, 1.400000e+000, 3.000000e+000, 3.310521e+000
1.500000000000000e+000, 1.500000e+000, 3.000000e+000, 3.354035e+000
1.600000000000000e+000, 1.600000e+000, 3.000000e+000, 3.399935e+000
1.700000000000000e+000, 1.700000e+000, 3.000000e+000, 3.448123e+000
1.800000000000001e+000, 1.800000e+000, 3.000000e+000, 3.498507e+000
1.900000000000001e+000, 1.900000e+000, 3.000000e+000, 3.550992e+000
2.000000000000000e+000, 2.000000e+000, 3.000000e+000, 3.605487e+000
2.100000000000001e+000, 2.100000e+000, 3.000000e+000, 3.661903e+000
2.200000000000001e+000, 2.200000e+000, 3.000000e+000, 3.720151e+000
2.300000000000001e+000, 2.300000e+000, 3.000000e+000, 3.780148e+000
2.400000000000001e+000, 2.400000e+000, 3.000000e+000, 3.841810e+000
2.500000000000001e+000, 2.500000e+000, 3.000000e+000, 3.905060e+000
2.600000000000001e+000, 2.600000e+000, 3.000000e+000, 3.969822e+000
2.700000000000001e+000, 2.700000e+000, 3.000000e+000, 4.036022e+000
2.800000000000001e+000, 2.800000e+000, 3.000000e+000, 4.103591e+000
2.900000000000001e+000, 2.900000e+000, 3.000000e+000, 4.172463e+000
3.000000000000001e+000, 3.000000e+000, 3.000000e+000, 4.242574e+000
3.100000000000001e+000, 3.100000e+000, 3.000000e+000, 4.313864e+000
3.200000000000002e+000, 3.200000e+000, 3.000000e+000, 4.386274e+000
3.300000000000002e+000, 3.300000e+000, 3.000000e+000, 4.459752e+000
3.400000000000002e+000, 3.400000e+000, 3.000000e+000, 4.534245e+000
3.500000000000002e+000, 3.500000e+000, 3.000000e+000, 4.609703e+000
3.600000000000002e+000, 3.600000e+000, 3.000000e+000, 4.686080e+000
3.700000000000002e+000, 3.700000e+000, 3.000000e+000, 4.763331e+000
3.800000000000002e+000, 3.800000e+000, 3.000000e+000, 4.841415e+000
3.900000000000002e+000, 3.900000e+000, 3.000000e+000, 4.920293e+000
4.000000000000002e+000, 4.000000e+000, 3.000000e+000, 4.999927e+000
4.100000000000001e+000, 4.100000e+000, 3.000000e+000, 5.080280e+000
4.200000000000001e+000, 4.200000e+000, 3.000000e+000, 5.161321e+000
4.300000000000001e+000, 4.300000e+000, 3.000000e+000, 5.243015e+000
4.400000000000000e+000, 4.400000e+000, 3.000000e+000, 5.325335e+000
4.500000000000000e+000, 4.500000e+000, 3.000000e+000, 5.408250e+000
4.600000000000000e+000, 4.600000e+000, 3.000000e+000, 5.491735e+000
4.699999999999999e+000, 4.700000e+000, 3.000000e+000, 5.575762e+000
4.799999999999999e+000, 4.800000e+000, 3.000000e+000, 5.660309e+000
4.899999999999999e+000, 4.900000e+000, 3.000000e+000, 5.745353e+000
5.000000000000000e+000, 5.000000e+000, 3.000000e+000, 5.830871e+000
Step Information: V1=3.5  (Run: 8/11)
0.000000000000000e+000, 0.000000e+000, 3.500000e+000, 3.499949e+000
1.000000000000000e-001, 1.000000e-001, 3.500000e+000, 3.501376e+000
