v3	V(v_1)	V(vout)	I(V3)
2.879999999999983e+000	2.500000e+000	2.880000e+000	2.411326e-007
2.889999999999982e+000	2.500000e+000	2.890000e+000	2.372723e-007
2.899999999999982e+000	2.500000e+000	2.900000e+000	2.334024e-007
2.909999999999982e+000	2.500000e+000	2.910000e+000	2.295230e-007
2.919999999999982e+000	2.500000e+000	2.920000e+000	2.256339e-007
2.929999999999982e+000	2.500000e+000	2.930000e+000	2.217348e-007
2.939999999999981e+000	2.500000e+000	2.940000e+000	2.178257e-007
2.949999999999981e+000	2.500000e+000	2.950000e+000	2.139064e-007
2.959999999999981e+000	2.500000e+000	2.960000e+000	2.099768e-007
2.969999999999981e+000	2.500000e+000	2.970000e+000	2.060368e-007
2.979999999999980e+000	2.500000e+000	2.980000e+000	2.020861e-007
2.989999999999980e+000	2.500000e+000	2.990000e+000	1.981246e-007
2.999999999999980e+000	2.500000e+000	3.000000e+000	1.941521e-007
3.009999999999980e+000	2.500000e+000	3.010000e+000	1.901686e-007
3.019999999999980e+000	2.500000e+000	3.020000e+000	1.861738e-007
3.029999999999979e+000	2.500000e+000	3.030000e+000	1.821675e-007
3.039999999999979e+000	2.500000e+000	3.040000e+000	1.781497e-007
3.049999999999979e+000	2.500000e+000	3.050000e+000	1.741202e-007
3.059999999999979e+000	2.500000e+000	3.060000e+000	1.700787e-007
3.069999999999979e+000	2.500000e+000	3.070000e+000	1.660252e-007
3.079999999999978e+000	2.500000e+000	3.080000e+000	1.619594e-007
3.089999999999978e+000	2.500000e+000	3.090000e+000	1.578812e-007
3.099999999999978e+000	2.500000e+000	3.100000e+000	1.537904e-007
3.109999999999978e+000	2.500000e+000	3.110000e+000	1.496868e-007
3.119999999999978e+000	2.500000e+000	3.120000e+000	1.455702e-007
3.129999999999977e+000	2.500000e+000	3.130000e+000	1.414406e-007
3.139999999999977e+000	2.500000e+000	3.140000e+000	1.372976e-007
3.149999999999977e+000	2.500000e+000	3.150000e+000	1.331411e-007
3.159999999999977e+000	2.500000e+000	3.160000e+000	1.289710e-007
3.169999999999976e+000	2.500000e+000	3.170000e+000	1.247869e-007
3.179999999999976e+000	2.500000e+000	3.180000e+000	1.205889e-007
3.189999999999976e+000	2.500000e+000	3.190000e+000	1.163765e-007
3.199999999999976e+000	2.500000e+000	3.200000e+000	1.121497e-007
3.209999999999976e+000	2.500000e+000	3.210000e+000	1.079083e-007
3.219999999999975e+000	2.500000e+000	3.220000e+000	1.036520e-007
3.229999999999975e+000	2.500000e+000	3.230000e+000	9.938071e-008
3.239999999999975e+000	2.500000e+000	3.240000e+000	9.509414e-008
3.249999999999975e+000	2.500000e+000	3.250000e+000	9.079212e-008
3.259999999999975e+000	2.500000e+000	3.260000e+000	8.647444e-008
3.269999999999974e+000	2.500000e+000	3.270000e+000	8.214089e-008
3.279999999999974e+000	2.500000e+000	3.280000e+000	7.779124e-008
3.289999999999974e+000	2.500000e+000	3.290000e+000	7.342530e-008
3.299999999999974e+000	2.500000e+000	3.300000e+000	6.904283e-008
3.309999999999973e+000	2.500000e+000	3.310000e+000	6.464363e-008
3.319999999999973e+000	2.500000e+000	3.320000e+000	6.022745e-008
3.329999999999973e+000	2.500000e+000	3.330000e+000	5.579409e-008
3.339999999999973e+000	2.500000e+000	3.340000e+000	5.134330e-008
3.349999999999973e+000	2.500000e+000	3.350000e+000	4.687485e-008
3.359999999999972e+000	2.500000e+000	3.360000e+000	4.238852e-008
3.369999999999972e+000	2.500000e+000	3.370000e+000	3.788405e-008
3.379999999999972e+000	2.500000e+000	3.380000e+000	3.336122e-008
3.389999999999972e+000	2.500000e+000	3.390000e+000	2.881977e-008
3.399999999999972e+000	2.500000e+000	3.400000e+000	2.425946e-008
3.409999999999971e+000	2.500000e+000	3.410000e+000	1.968003e-008
3.419999999999971e+000	2.500000e+000	3.420000e+000	1.508123e-008
3.429999999999971e+000	2.500000e+000	3.430000e+000	1.046281e-008
3.439999999999971e+000	2.500000e+000	3.440000e+000	5.824487e-009
3.449999999999970e+000	2.500000e+000	3.450000e+000	1.166008e-009
3.459999999999970e+000	2.500000e+000	3.460000e+000	-3.512901e-009
3.469999999999970e+000	2.500000e+000	3.470000e+000	-8.212515e-009
3.479999999999970e+000	2.500000e+000	3.480000e+000	-1.293312e-008
3.489999999999970e+000	2.500000e+000	3.490000e+000	-1.767499e-008
3.499999999999969e+000	2.500000e+000	3.500000e+000	-2.243842e-008
3.509999999999969e+000	2.500000e+000	3.510000e+000	-2.722370e-008
3.519999999999969e+000	2.500000e+000	3.520000e+000	-3.203114e-008
3.529999999999969e+000	2.500000e+000	3.530000e+000	-3.686105e-008
3.539999999999969e+000	2.500000e+000	3.540000e+000	-4.171373e-008
3.549999999999968e+000	2.500000e+000	3.550000e+000	-4.658951e-008
3.559999999999968e+000	2.500000e+000	3.560000e+000	-5.148872e-008
3.569999999999968e+000	2.500000e+000	3.570000e+000	-5.641168e-008
3.579999999999968e+000	2.500000e+000	3.580000e+000	-6.135875e-008
3.589999999999967e+000	2.500000e+000	3.590000e+000	-6.633027e-008
3.599999999999967e+000	2.500000e+000	3.600000e+000	-7.132662e-008
3.609999999999967e+000	2.500000e+000	3.610000e+000	-7.634817e-008
3.619999999999967e+000	2.500000e+000	3.620000e+000	-8.139529e-008
3.629999999999967e+000	2.500000e+000	3.630000e+000	-8.646840e-008
3.639999999999966e+000	2.500000e+000	3.640000e+000	-9.156791e-008
3.649999999999966e+000	2.500000e+000	3.650000e+000	-9.669424e-008
3.659999999999966e+000	2.500000e+000	3.660000e+000	-1.018479e-007
3.669999999999966e+000	2.500000e+000	3.670000e+000	-1.070292e-007
3.679999999999966e+000	2.500000e+000	3.680000e+000	-1.122388e-007
3.689999999999965e+000	2.500000e+000	3.690000e+000	-1.174771e-007
3.699999999999965e+000	2.500000e+000	3.700000e+000	-1.227448e-007
3.709999999999965e+000	2.500000e+000	3.710000e+000	-1.280423e-007
3.719999999999965e+000	2.500000e+000	3.720000e+000	-1.333704e-007
3.729999999999965e+000	2.500000e+000	3.730000e+000	-1.387296e-007
3.739999999999964e+000	2.500000e+000	3.740000e+000	-1.441206e-007
3.749999999999964e+000	2.500000e+000	3.750000e+000	-1.495444e-007
3.759999999999964e+000	2.500000e+000	3.760000e+000	-1.550015e-007
3.769999999999964e+000	2.500000e+000	3.770000e+000	-1.604931e-007
3.779999999999963e+000	2.500000e+000	3.780000e+000	-1.660201e-007
3.789999999999963e+000	2.500000e+000	3.790000e+000	-1.715836e-007
3.799999999999963e+000	2.500000e+000	3.800000e+000	-1.771848e-007
3.809999999999963e+000	2.500000e+000	3.810000e+000	-1.828252e-007
3.819999999999963e+000	2.500000e+000	3.820000e+000	-1.885063e-007
3.829999999999962e+000	2.500000e+000	3.830000e+000	-1.942299e-007
3.839999999999962e+000	2.500000e+000	3.840000e+000	-1.999980e-007
3.849999999999962e+000	2.500000e+000	3.850000e+000	-2.058131e-007
3.859999999999962e+000	2.500000e+000	3.860000e+000	-2.116779e-007
3.869999999999962e+000	2.500000e+000	3.870000e+000	-2.175956e-007
3.879999999999961e+000	2.500000e+000	3.880000e+000	-2.235701e-007
3.889999999999961e+000	2.500000e+000	3.890000e+000	-2.296058e-007
3.899999999999961e+000	2.500000e+000	3.900000e+000	-2.357083e-007
3.909999999999961e+000	2.500000e+000	3.910000e+000	-2.418842e-007
3.919999999999960e+000	2.500000e+000	3.920000e+000	-2.481414e-007
3.929999999999960e+000	2.500000e+000	3.930000e+000	-2.544897e-007
3.939999999999960e+000	2.500000e+000	3.940000e+000	-2.609412e-007
