v1	V(v_1)	V(v_2)	I(V3)
-7.569999999999998e-001	1.743000e+000	2.500000e+000	-5.833066e-005
-7.559999999999998e-001	1.744000e+000	2.500000e+000	-5.824890e-005
-7.549999999999998e-001	1.745000e+000	2.500000e+000	-5.816705e-005
-7.539999999999998e-001	1.746000e+000	2.500000e+000	-5.808513e-005
-7.529999999999998e-001	1.747000e+000	2.500000e+000	-5.800313e-005
-7.519999999999998e-001	1.748000e+000	2.500000e+000	-5.792105e-005
-7.509999999999998e-001	1.749000e+000	2.500000e+000	-5.783889e-005
-7.499999999999998e-001	1.750000e+000	2.500000e+000	-5.775665e-005
-7.489999999999998e-001	1.751000e+000	2.500000e+000	-5.767433e-005
-7.479999999999998e-001	1.752000e+000	2.500000e+000	-5.759193e-005
-7.469999999999998e-001	1.753000e+000	2.500000e+000	-5.750945e-005
-7.459999999999998e-001	1.754000e+000	2.500000e+000	-5.742690e-005
-7.449999999999998e-001	1.755000e+000	2.500000e+000	-5.734426e-005
-7.439999999999998e-001	1.756000e+000	2.500000e+000	-5.726155e-005
-7.429999999999998e-001	1.757000e+000	2.500000e+000	-5.717875e-005
-7.419999999999998e-001	1.758000e+000	2.500000e+000	-5.709588e-005
-7.409999999999998e-001	1.759000e+000	2.500000e+000	-5.701292e-005
-7.399999999999998e-001	1.760000e+000	2.500000e+000	-5.692989e-005
-7.389999999999998e-001	1.761000e+000	2.500000e+000	-5.684678e-005
-7.379999999999998e-001	1.762000e+000	2.500000e+000	-5.676359e-005
-7.369999999999998e-001	1.763000e+000	2.500000e+000	-5.668032e-005
-7.359999999999998e-001	1.764000e+000	2.500000e+000	-5.659697e-005
-7.349999999999998e-001	1.765000e+000	2.500000e+000	-5.651355e-005
-7.339999999999998e-001	1.766000e+000	2.500000e+000	-5.643004e-005
-7.329999999999998e-001	1.767000e+000	2.500000e+000	-5.634645e-005
-7.319999999999998e-001	1.768000e+000	2.500000e+000	-5.626279e-005
-7.309999999999998e-001	1.769000e+000	2.500000e+000	-5.617904e-005
-7.299999999999998e-001	1.770000e+000	2.500000e+000	-5.609522e-005
-7.289999999999998e-001	1.771000e+000	2.500000e+000	-5.601132e-005
-7.279999999999998e-001	1.772000e+000	2.500000e+000	-5.592734e-005
-7.269999999999998e-001	1.773000e+000	2.500000e+000	-5.584328e-005
-7.259999999999998e-001	1.774000e+000	2.500000e+000	-5.575914e-005
-7.249999999999998e-001	1.775000e+000	2.500000e+000	-5.567493e-005
-7.239999999999998e-001	1.776000e+000	2.500000e+000	-5.559063e-005
-7.229999999999998e-001	1.777000e+000	2.500000e+000	-5.550625e-005
-7.219999999999998e-001	1.778000e+000	2.500000e+000	-5.542180e-005
-7.209999999999998e-001	1.779000e+000	2.500000e+000	-5.533727e-005
-7.199999999999998e-001	1.780000e+000	2.500000e+000	-5.525266e-005
-7.189999999999998e-001	1.781000e+000	2.500000e+000	-5.516797e-005
-7.179999999999998e-001	1.782000e+000	2.500000e+000	-5.508320e-005
-7.169999999999998e-001	1.783000e+000	2.500000e+000	-5.499835e-005
-7.159999999999998e-001	1.784000e+000	2.500000e+000	-5.491343e-005
-7.149999999999998e-001	1.785000e+000	2.500000e+000	-5.482843e-005
-7.139999999999998e-001	1.786000e+000	2.500000e+000	-5.474334e-005
-7.129999999999998e-001	1.787000e+000	2.500000e+000	-5.465818e-005
-7.119999999999997e-001	1.788000e+000	2.500000e+000	-5.457294e-005
-7.109999999999997e-001	1.789000e+000	2.500000e+000	-5.448762e-005
-7.099999999999997e-001	1.790000e+000	2.500000e+000	-5.440223e-005
-7.089999999999997e-001	1.791000e+000	2.500000e+000	-5.431675e-005
-7.079999999999997e-001	1.792000e+000	2.500000e+000	-5.423120e-005
-7.069999999999997e-001	1.793000e+000	2.500000e+000	-5.414557e-005
-7.059999999999997e-001	1.794000e+000	2.500000e+000	-5.405986e-005
-7.049999999999997e-001	1.795000e+000	2.500000e+000	-5.397408e-005
-7.039999999999997e-001	1.796000e+000	2.500000e+000	-5.388821e-005
-7.029999999999997e-001	1.797000e+000	2.500000e+000	-5.380227e-005
-7.019999999999997e-001	1.798000e+000	2.500000e+000	-5.371625e-005
-7.009999999999997e-001	1.799000e+000	2.500000e+000	-5.363015e-005
-6.999999999999997e-001	1.800000e+000	2.500000e+000	-5.354398e-005
-6.989999999999997e-001	1.801000e+000	2.500000e+000	-5.345772e-005
-6.979999999999997e-001	1.802000e+000	2.500000e+000	-5.337139e-005
-6.969999999999997e-001	1.803000e+000	2.500000e+000	-5.328498e-005
-6.959999999999997e-001	1.804000e+000	2.500000e+000	-5.319850e-005
-6.949999999999997e-001	1.805000e+000	2.500000e+000	-5.311194e-005
-6.939999999999997e-001	1.806000e+000	2.500000e+000	-5.302530e-005
-6.929999999999997e-001	1.807000e+000	2.500000e+000	-5.293858e-005
-6.919999999999997e-001	1.808000e+000	2.500000e+000	-5.285179e-005
-6.909999999999997e-001	1.809000e+000	2.500000e+000	-5.276492e-005
-6.899999999999997e-001	1.810000e+000	2.500000e+000	-5.267797e-005
-6.889999999999997e-001	1.811000e+000	2.500000e+000	-5.259095e-005
-6.879999999999997e-001	1.812000e+000	2.500000e+000	-5.250386e-005
-6.869999999999997e-001	1.813000e+000	2.500000e+000	-5.241668e-005
-6.859999999999997e-001	1.814000e+000	2.500000e+000	-5.232943e-005
-6.849999999999997e-001	1.815000e+000	2.500000e+000	-5.224211e-005
-6.839999999999997e-001	1.816000e+000	2.500000e+000	-5.215470e-005
-6.829999999999997e-001	1.817000e+000	2.500000e+000	-5.206723e-005
-6.819999999999997e-001	1.818000e+000	2.500000e+000	-5.197968e-005
-6.809999999999997e-001	1.819000e+000	2.500000e+000	-5.189205e-005
-6.799999999999997e-001	1.820000e+000	2.500000e+000	-5.180435e-005
-6.789999999999997e-001	1.821000e+000	2.500000e+000	-5.171658e-005
-6.779999999999997e-001	1.822000e+000	2.500000e+000	-5.162873e-005
-6.769999999999997e-001	1.823000e+000	2.500000e+000	-5.154081e-005
-6.759999999999997e-001	1.824000e+000	2.500000e+000	-5.145281e-005
